instance_size,density,lb_deviation,lb_hit,execution_time
"(4, 4)",LD,0.061506629424048775,4,0.8804399728775024
"(4, 4)",MD,0.0,10,0.9513743162155152
"(4, 4)",HD,0.0,10,1.1271583080291747
"(7, 7)",LD,0.0020604395604395605,9,1.7046852588653565
"(7, 7)",MD,0.004582182998532962,8,2.7017859697341917
"(7, 7)",HD,0.019083094555873925,9,2.2952718496322633
"(10, 10)",LD,0.11593666370785276,3,20.279442310333252
"(10, 10)",MD,0.013819122815746104,6,19.786763286590578
"(10, 10)",HD,0.04242790372970462,8,5.949609088897705
"(15, 15)",LD,0.13656804937385544,3,130.1299066543579
"(15, 15)",MD,0.1331176032289843,3,206.87277512550355
"(15, 15)",HD,0.030613410116053112,5,110.45686511993408
"(20, 20)",LD,0.1010801971136567,2,733.5370703458786
"(20, 20)",MD,0.0925107853997979,4,547.3254239559174
"(20, 20)",HD,0.06370867228014042,2,487.2455224990845
